TITLE = "FEHM V3.3.0lin 18-01-19 QA:NA  07/06/2018  10:13:46 # run.dat"
VARIABLES = "node" "Liquid Pressure (MPa)" "Temperature (<sup>o</sup>C)"
ZONE T ="Simulation time   0.00000000    days"
 0000000213    12.8315385    52.7000000
 0000000214    12.8315391    52.7000000
 0000000215    12.8315395    52.7000000
 0000000216    12.8315398    52.7000000
 0000000217    12.8315400    52.7000000
 0000000218    12.8315401    52.7000000
 0000000219    12.8315402    52.7000000
 0000000220    12.8315403    52.7000000
 0000000221    12.8315403    52.7000000
 0000000222    12.8315403    52.7000000
 0000000223    12.8315404    52.7000000
 0000000224    12.8315404    52.7000000
 0000000225    12.8315404    52.7000000
 0000000226    12.8315404    52.7000000
 0000000227    12.8315404    52.7000000
 0000000228    12.8315404    52.7000000
 0000000229    12.8315404    52.7000000
 0000000230    12.8315404    52.7000000
 0000000231    12.8315404    52.7000000
 0000000232    12.8315404    52.7000000
 0000000233    12.8315404    52.7000000
 0000000234    12.8315404    52.7000000
 0000000235    12.8315404    52.7000000
 0000000236    12.8315404    52.7000000
 0000000237    12.8315404    52.7000000
 0000000238    12.8315403    52.7000000
 0000000239    12.8315403    52.7000000
 0000000240    12.8315403    52.7000000
 0000000241    12.8315402    52.7000000
 0000000242    12.8315401    52.7000000
 0000000243    12.8315400    52.7000000
 0000000244    12.8315398    52.7000000
 0000000245    12.8315395    52.7000000
 0000000246    12.8315391    52.7000000
 0000000247    12.8315385    52.7000000
 0000000248    12.8315376    52.7000000
 0000000249    12.8315362    52.7000000
 0000000250    12.8315343    52.7000000
 0000000251    12.8315319    52.7000000
 0000000252    12.8315292    52.7000000
 0000000253    12.8315281    52.7000000
 0000000254    12.8315351    52.7000000
 0000000255    12.8315816    52.2256972
 0000000256    12.8315842    52.2254918
 0000000257    12.8315377    52.7000000
 0000000258    12.8315306    52.7000000
 0000000259    12.8315317    52.7000000
 0000000260    12.8315343    52.7000000
 0000000261    12.8315368    52.7000000
 0000000262    12.8315386    52.7000000
 0000000263    12.8315400    52.7000000
 0000000264    12.8315409    52.7000000
 0000000265    12.8315415    52.7000000
 0000000266    12.8315419    52.7000000
 0000000267    12.8315422    52.7000000
 0000000268    12.8315424    52.7000000
 0000000269    12.8315425    52.7000000
 0000000270    12.8315426    52.7000000
 0000000271    12.8315426    52.7000000
 0000000272    12.8315427    52.7000000
 0000000273    12.8315427    52.7000000
 0000000274    12.8315427    52.7000000
 0000000275    12.8315427    52.7000000
 0000000276    12.8315427    52.7000000
 0000000277    12.8315427    52.7000000
 0000000278    12.8315427    52.7000000
 0000000279    12.8315427    52.7000000
 0000000280    12.8315427    52.7000000
 0000000281    12.8315427    52.7000000
 0000000282    12.8315427    52.7000000
 0000000283    12.8315427    52.7000000
 0000000284    12.8315427    52.7000000
 0000000285    12.8315427    52.7000000
 0000000286    12.8315427    52.7000000
 0000000287    12.8315427    52.7000000
 0000000288    12.8315427    52.7000000
 0000000289    12.8315427    52.7000000
 0000000290    12.8315427    52.7000000
 0000000291    12.8315426    52.7000000
 0000000292    12.8315426    52.7000000
 0000000293    12.8315425    52.7000000
 0000000294    12.8315424    52.7000000
 0000000295    12.8315422    52.7000000
 0000000296    12.8315419    52.7000000
 0000000297    12.8315415    52.7000000
 0000000298    12.8315409    52.7000000
 0000000299    12.8315400    52.7000000
 0000000300    12.8315386    52.7000000
 0000000301    12.8315368    52.7000000
 0000000302    12.8315343    52.7000000
 0000000303    12.8315317    52.7000000
 0000000304    12.8315306    52.7000000
 0000000305    12.8315377    52.7000000
 0000000306    12.8315842    52.2254918
 0000000307    12.8315863    52.2251602
 0000000308    12.8315397    52.7000000
 0000000309    12.8315326    52.7000000
 0000000310    12.8315336    52.7000000
 0000000311    12.8315362    52.7000000
 0000000312    12.8315386    52.7000000
 0000000313    12.8315405    52.7000000
 0000000314    12.8315418    52.7000000
 0000000315    12.8315427    52.7000000
 0000000316    12.8315433    52.7000000
 0000000317    12.8315437    52.7000000
 0000000318    12.8315440    52.7000000
 0000000319    12.8315442    52.7000000
 0000000320    12.8315443    52.7000000
 0000000321    12.8315444    52.7000000
 0000000322    12.8315444    52.7000000
 0000000323    12.8315444    52.7000000
 0000000324    12.8315445    52.7000000
 0000000325    12.8315445    52.7000000
 0000000326    12.8315445    52.7000000
 0000000327    12.8315445    52.7000000
 0000000328    12.8315445    52.7000000
 0000000329    12.8315445    52.7000000
 0000000330    12.8315445    52.7000000
 0000000331    12.8315445    52.7000000
 0000000332    12.8315445    52.7000000
 0000000333    12.8315445    52.7000000
 0000000334    12.8315445    52.7000000
 0000000335    12.8315445    52.7000000
 0000000336    12.8315445    52.7000000
 0000000337    12.8315445    52.7000000
 0000000338    12.8315445    52.7000000
 0000000339    12.8315445    52.7000000
 0000000340    12.8315445    52.7000000
 0000000341    12.8315444    52.7000000
 0000000342    12.8315444    52.7000000
 0000000343    12.8315444    52.7000000
 0000000344    12.8315443    52.7000000
 0000000345    12.8315442    52.7000000
 0000000346    12.8315440    52.7000000
 0000000347    12.8315437    52.7000000
 0000000348    12.8315433    52.7000000
 0000000349    12.8315427    52.7000000
 0000000350    12.8315418    52.7000000
 0000000351    12.8315405    52.7000000
 0000000352    12.8315386    52.7000000
 0000000353    12.8315362    52.7000000
 0000000354    12.8315336    52.7000000
 0000000355    12.8315326    52.7000000
 0000000356    12.8315397    52.7000000
 0000000357    12.8315863    52.2251602
 0000000358    12.8315878    52.2249293
 0000000359    12.8315412    52.7000000
 0000000360    12.8315340    52.7000000
 0000000361    12.8315350    52.7000000
 0000000362    12.8315376    52.7000000
 0000000363    12.8315400    52.7000000
 0000000364    12.8315418    52.7000000
 0000000365    12.8315431    52.7000000
 0000000366    12.8315440    52.7000000
 0000000367    12.8315446    52.7000000
 0000000368    12.8315450    52.7000000
 0000000369    12.8315452    52.7000000
 0000000370    12.8315454    52.7000000
 0000000371    12.8315455    52.7000000
 0000000372    12.8315456    52.7000000
 0000000373    12.8315457    52.7000000
 0000000374    12.8315457    52.7000000
 0000000375    12.8315457    52.7000000
 0000000376    12.8315457    52.7000000
 0000000377    12.8315458    52.7000000
 0000000378    12.8315458    52.7000000
 0000000379    12.8315458    52.7000000
 0000000380    12.8315458    52.7000000
 0000000381    12.8315458    52.7000000
 0000000382    12.8315458    52.7000000
 0000000383    12.8315458    52.7000000
 0000000384    12.8315458    52.7000000
 0000000385    12.8315458    52.7000000
 0000000386    12.8315458    52.7000000
 0000000387    12.8315458    52.7000000
 0000000388    12.8315458    52.7000000
 0000000389    12.8315458    52.7000000
 0000000390    12.8315457    52.7000000
 0000000391    12.8315457    52.7000000
 0000000392    12.8315457    52.7000000
 0000000393    12.8315457    52.7000000
 0000000394    12.8315456    52.7000000
 0000000395    12.8315455    52.7000000
 0000000396    12.8315454    52.7000000
 0000000397    12.8315452    52.7000000
 0000000398    12.8315450    52.7000000
 0000000399    12.8315446    52.7000000
 0000000400    12.8315440    52.7000000
 0000000401    12.8315431    52.7000000
 0000000402    12.8315418    52.7000000
 0000000403    12.8315400    52.7000000
 0000000404    12.8315376    52.7000000
 0000000405    12.8315350    52.7000000
 0000000406    12.8315340    52.7000000
 0000000407    12.8315412    52.7000000
 0000000408    12.8315878    52.2249293
 0000000409    12.8315888    52.2247967
 0000000410    12.8315422    52.7000000
 0000000411    12.8315350    52.7000000
 0000000412    12.8315359    52.7000000
 0000000413    12.8315385    52.7000000
 0000000414    12.8315409    52.7000000
 0000000415    12.8315427    52.7000000
 0000000416    12.8315440    52.7000000
 0000000417    12.8315448    52.7000000
 0000000418    12.8315454    52.7000000
 0000000419    12.8315458    52.7000000
 0000000420    12.8315461    52.7000000
 0000000421    12.8315463    52.7000000
 0000000422    12.8315464    52.7000000
 0000000423    12.8315465    52.7000000
 0000000424    12.8315465    52.7000000
 0000000425    12.8315466    52.7000000
 0000000426    12.8315466    52.7000000
 0000000427    12.8315466    52.7000000
 0000000428    12.8315466    52.7000000
 0000000429    12.8315466    52.7000000
 0000000430    12.8315466    52.7000000
 0000000431    12.8315466    52.7000000
 0000000432    12.8315466    52.7000000
 0000000433    12.8315466    52.7000000
 0000000434    12.8315466    52.7000000
 0000000435    12.8315466    52.7000000
 0000000436    12.8315466    52.7000000
 0000000437    12.8315466    52.7000000
 0000000438    12.8315466    52.7000000
 0000000439    12.8315466    52.7000000
 0000000440    12.8315466    52.7000000
 0000000441    12.8315466    52.7000000
 0000000442    12.8315466    52.7000000
 0000000443    12.8315466    52.7000000
 0000000444    12.8315465    52.7000000
 0000000445    12.8315465    52.7000000
 0000000446    12.8315464    52.7000000
 0000000447    12.8315463    52.7000000
 0000000448    12.8315461    52.7000000
 0000000449    12.8315458    52.7000000
 0000000450    12.8315454    52.7000000
 0000000451    12.8315448    52.7000000
 0000000452    12.8315440    52.7000000
 0000000453    12.8315427    52.7000000
 0000000454    12.8315409    52.7000000
 0000000455    12.8315385    52.7000000
 0000000456    12.8315359    52.7000000
 0000000457    12.8315350    52.7000000
 0000000458    12.8315422    52.7000000
 0000000459    12.8315888    52.2247967
 0000000460    12.8315895    52.2247266
 0000000461    12.8315428    52.7000000
 0000000462    12.8315356    52.7000000
 0000000463    12.8315366    52.7000000
 0000000464    12.8315391    52.7000000
 0000000465    12.8315415    52.7000000
 0000000466    12.8315433    52.7000000
 0000000467    12.8315446    52.7000000
 0000000468    12.8315454    52.7000000
 0000000469    12.8315460    52.7000000
 0000000470    12.8315464    52.7000000
 0000000471    12.8315467    52.7000000
 0000000472    12.8315469    52.7000000
 0000000473    12.8315470    52.7000000
 0000000474    12.8315471    52.7000000
 0000000475    12.8315471    52.7000000
 0000000476    12.8315472    52.7000000
 0000000477    12.8315472    52.7000000
 0000000478    12.8315472    52.7000000
 0000000479    12.8315472    52.7000000
 0000000480    12.8315472    52.7000000
 0000000481    12.8315472    52.7000000
 0000000482    12.8315472    52.7000000
 0000000483    12.8315472    52.7000000
 0000000484    12.8315472    52.7000000
 0000000485    12.8315472    52.7000000
 0000000486    12.8315472    52.7000000
 0000000487    12.8315472    52.7000000
 0000000488    12.8315472    52.7000000
 0000000489    12.8315472    52.7000000
 0000000490    12.8315472    52.7000000
 0000000491    12.8315472    52.7000000
 0000000492    12.8315472    52.7000000
 0000000493    12.8315472    52.7000000
 0000000494    12.8315472    52.7000000
 0000000495    12.8315471    52.7000000
 0000000496    12.8315471    52.7000000
 0000000497    12.8315470    52.7000000
 0000000498    12.8315469    52.7000000
 0000000499    12.8315467    52.7000000
 0000000500    12.8315464    52.7000000
 0000000501    12.8315460    52.7000000
 0000000502    12.8315454    52.7000000
 0000000503    12.8315446    52.7000000
 0000000504    12.8315433    52.7000000
 0000000505    12.8315415    52.7000000
 0000000506    12.8315391    52.7000000
 0000000507    12.8315366    52.7000000
 0000000508    12.8315356    52.7000000
 0000000509    12.8315428    52.7000000
 0000000510    12.8315895    52.2247266
 0000000511    12.8315900    52.2246911
 0000000512    12.8315433    52.7000000
 0000000513    12.8315361    52.7000000
 0000000514    12.8315370    52.7000000
 0000000515    12.8315395    52.7000000
 0000000516    12.8315419    52.7000000
 0000000517    12.8315437    52.7000000
 0000000518    12.8315450    52.7000000
 0000000519    12.8315458    52.7000000
 0000000520    12.8315464    52.7000000
 0000000521    12.8315468    52.7000000
 0000000522    12.8315471    52.7000000
 0000000523    12.8315473    52.7000000
 0000000524    12.8315474    52.7000000
 0000000525    12.8315475    52.7000000
 0000000526    12.8315475    52.7000000
 0000000527    12.8315475    52.7000000
 0000000528    12.8315476    52.7000000
 0000000529    12.8315476    52.7000000
 0000000530    12.8315476    52.7000000
 0000000531    12.8315476    52.7000000
 0000000532    12.8315476    52.7000000
 0000000533    12.8315476    52.7000000
 0000000534    12.8315476    52.7000000
 0000000535    12.8315476    52.7000000
 0000000536    12.8315476    52.7000000
 0000000537    12.8315476    52.7000000
 0000000538    12.8315476    52.7000000
 0000000539    12.8315476    52.7000000
 0000000540    12.8315476    52.7000000
 0000000541    12.8315476    52.7000000
 0000000542    12.8315476    52.7000000
 0000000543    12.8315476    52.7000000
 0000000544    12.8315476    52.7000000
 0000000545    12.8315475    52.7000000
 0000000546    12.8315475    52.7000000
 0000000547    12.8315475    52.7000000
 0000000548    12.8315474    52.7000000
 0000000549    12.8315473    52.7000000
 0000000550    12.8315471    52.7000000
 0000000551    12.8315468    52.7000000
 0000000552    12.8315464    52.7000000
 0000000553    12.8315458    52.7000000
 0000000554    12.8315450    52.7000000
 0000000555    12.8315437    52.7000000
 0000000556    12.8315419    52.7000000
 0000000557    12.8315395    52.7000000
 0000000558    12.8315370    52.7000000
 0000000559    12.8315361    52.7000000
 0000000560    12.8315433    52.7000000
 0000000561    12.8315900    52.2246911
 0000000562    12.8315903    52.2246737
 0000000563    12.8315436    52.7000000
 0000000564    12.8315364    52.7000000
 0000000565    12.8315373    52.7000000
 0000000566    12.8315398    52.7000000
 0000000567    12.8315422    52.7000000
 0000000568    12.8315440    52.7000000
 0000000569    12.8315452    52.7000000
 0000000570    12.8315461    52.7000000
 0000000571    12.8315467    52.7000000
 0000000572    12.8315471    52.7000000
 0000000573    12.8315474    52.7000000
 0000000574    12.8315475    52.7000000
 0000000575    12.8315476    52.7000000
 0000000576    12.8315477    52.7000000
 0000000577    12.8315478    52.7000000
 0000000578    12.8315478    52.7000000
 0000000579    12.8315478    52.7000000
 0000000580    12.8315478    52.7000000
 0000000581    12.8315479    52.7000000
 0000000582    12.8315479    52.7000000
 0000000583    12.8315479    52.7000000
 0000000584    12.8315479    52.7000000
 0000000585    12.8315479    52.7000000
 0000000586    12.8315479    52.7000000
 0000000587    12.8315479    52.7000000
 0000000588    12.8315479    52.7000000
 0000000589    12.8315479    52.7000000
 0000000590    12.8315479    52.7000000
 0000000591    12.8315479    52.7000000
 0000000592    12.8315479    52.7000000
 0000000593    12.8315479    52.7000000
 0000000594    12.8315478    52.7000000
 0000000595    12.8315478    52.7000000
 0000000596    12.8315478    52.7000000
 0000000597    12.8315478    52.7000000
 0000000598    12.8315477    52.7000000
 0000000599    12.8315476    52.7000000
 0000000600    12.8315475    52.7000000
 0000000601    12.8315474    52.7000000
 0000000602    12.8315471    52.7000000
 0000000603    12.8315467    52.7000000
 0000000604    12.8315461    52.7000000
 0000000605    12.8315452    52.7000000
 0000000606    12.8315440    52.7000000
 0000000607    12.8315422    52.7000000
